,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
Round 14 - Rome 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Cassidy,Gunther,Hughes,Sette Camara,Evans,Dennis,Cassidy,Lotterer,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Da Costa,Eric Vergne,Vandoorne,Dennis,Nato,Bird,Evans,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,220,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 15 - London 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Dennis,Da Costa,Eric Vergne,Vandoorne,Dennis,Evans,Cassidy,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Vandoorne,Lotterer,di Grassi,Evans,Dennis,Buemi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,230,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 16 - London 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Frijns,Buemi,Sette Camara,Evans,Bird,Cassidy,Dicktum,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Cassidy,Vandoorne,Dennis,Frijns,Cassidy,Evans,Dennis,#####,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,240,,,,
