,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
Round 14 - Rome 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Mortara,Evans,Mortara,Evans,Cassidy,Buemi,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Da Costa,Eric Vergne,Vandoorne,Dennis,Nato,Bird,Evans,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,240,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 15 - London 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Cassidy,Evans,Dennis,di Grassi,Cassidy,Evans,Dennis,Merhi,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Vandoorne,Lotterer,di Grassi,Evans,Dennis,Buemi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,10,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,260,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 16 - London 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Dennis,Cassidy,Hughes,Evans,Cassidy,Bird,Lotterer,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Cassidy,Vandoorne,Dennis,Frijns,Cassidy,Evans,Dennis,#####,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,270,,,,
