,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
Round 14 - Rome 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Evans,Cassidy,Eric Vergne,Evans,Cassidy,Dennis,Sette Camara,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Dennis,Da Costa,Eric Vergne,Vandoorne,Dennis,Nato,Bird,Evans,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,260,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 15 - London 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Buemi,Fenestraz,Evans,Mortara,Cassidy,Evans,Dennis,Frijns,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Vandoorne,Lotterer,di Grassi,Evans,Dennis,Buemi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,10,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,280,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 16 - London 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Cassidy,Fenestraz,Hughes,Eric Vergne,Bird,Dennis,Evans,Vandoorne,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Cassidy,Vandoorne,Dennis,Frijns,Cassidy,Evans,Dennis,#####,Yes
,,,,,,,,,
Points,10,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,300,,,,
